代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
300033,同花顺,241.91,3.08,55.64,5.27,40.6,45,"涨3.1%, 放量, 换手5.3%"
002049,紫光国微,85.06,2.54,71.92,9.74,49.8,45,"涨2.5%, 放量, 换手9.7%"
002049,紫光国微,77.27,0.23,20.58,3.14,45.3,45,"涨0.2%, 放量, 换手3.1%"
603283,赛腾股份,67.68,2.53,11.81,6.47,38.7,45,"涨2.5%, 放量, 换手6.5%"
603283,DR赛腾股,48.2,0.04,10.48,6.06,27.5,45,"涨0.0%, 放量, 换手6.1%"
300033,同花顺,228.87,0.49,41.81,4.16,38.4,45,"涨0.5%, 放量, 换手4.2%"
002475,立讯精密,73.29,0.67,198.79,3.68,32.0,45,"涨0.7%, 放量, 换手3.7%"
000063,中兴通讯,37.74,3.57,90.66,5.97,32.3,45,"涨3.6%, 放量, 换手6.0%"
002241,歌尔股份,28.27,3.55,111.92,12.62,24.8,45,"涨3.6%, 放量, 换手12.6%"
002241,歌尔股份,28.4,0.46,81.22,9.07,24.9,45,"涨0.5%, 放量, 换手9.1%"
603283,赛腾股份,49.3,0.88,9.35,5.4,28.2,45,"涨0.9%, 放量, 换手5.4%"
000977,浪潮信息,66.41,2.93,40.18,4.22,40.5,45,"涨2.9%, 放量, 换手4.2%"
000063,中兴通讯,38.3,9.99,81.63,5.53,32.7,40,"涨幅较大10.0%, 放量, 换手5.5%"
002241,歌尔股份,27.3,7.1,46.33,5.69,23.9,40,"涨幅较大7.1%, 放量, 换手5.7%"
603501,豪威集团,106.07,-2.63,45.98,3.59,31.5,35,"放量, 换手3.6%"
603501,豪威集团,101.9,-2.92,37.24,3.03,30.2,35,"放量, 换手3.0%"
002049,紫光国微,79.3,-8.11,54.39,7.8,46.5,35,"放量, 换手7.8%"
002049,紫光国微,86.3,1.46,52.32,7.21,50.6,35,"涨1.5%, 放量, 换手7.2%"
002049,紫光国微,69.98,-6.87,24.3,4.0,41.0,35,"放量, 换手4.0%"
002049,紫光国微,76.51,-3.52,35.09,5.29,44.8,35,"放量, 换手5.3%"
000977,浪潮信息,67.3,-2.75,41.8,4.27,41.1,35,"放量, 换手4.3%"
000063,中兴通讯,35.54,-2.01,44.35,3.13,30.4,35,"放量, 换手3.1%"
300496,中科创达,74.3,3.4,22.1,8.35,75.9,35,"涨3.4%, 放量, 换手8.3%"
300502,新易盛,700.0,6.22,318.16,5.17,72.8,35,"涨6.2%, 放量, 换手5.2%"
002230,科大讯飞,49.25,1.17,33.87,3.15,136.8,35,"涨1.2%, 放量, 换手3.1%"
002049,紫光国微,82.95,-2.44,43.49,6.22,48.6,35,"放量, 换手6.2%"
300496,中科创达,64.74,2.48,16.49,6.92,66.1,35,"涨2.5%, 放量, 换手6.9%"
300033,同花顺,204.9,-3.08,29.56,3.26,34.4,35,"放量, 换手3.3%"
300033,同花顺,221.2,-1.11,29.87,3.07,37.1,35,"放量, 换手3.1%"
002230,科大讯飞,50.25,2.03,54.36,4.95,139.6,35,"涨2.0%, 放量, 换手5.0%"
002230,科大讯飞,49.14,2.59,34.44,3.21,136.5,35,"涨2.6%, 放量, 换手3.2%"
002281,光迅科技,204.3,0.17,107.84,6.67,168.8,35,"涨0.2%, 放量, 换手6.7%"
603283,赛腾股份,66.01,-1.62,12.57,6.79,37.7,35,"放量, 换手6.8%"
000977,浪潮信息,64.14,-0.76,67.06,6.94,39.1,35,"放量, 换手6.9%"
000977,浪潮信息,64.63,-2.68,80.96,8.27,39.4,35,"放量, 换手8.3%"
000977,浪潮信息,64.52,-4.13,46.94,4.85,39.4,35,"放量, 换手4.9%"
601138,工业富联,70.08,0.14,207.07,1.46,39.4,35,"涨0.1%, 放量"
002281,光迅科技,214.9,6.02,141.42,8.67,177.6,35,"涨6.0%, 放量, 换手8.7%"
000063,中兴通讯,36.81,-5.93,113.94,7.51,31.5,35,"放量, 换手7.5%"
002241,歌尔股份,24.94,-6.97,54.96,6.82,21.9,35,"放量, 换手6.8%"
300502,新易盛,718.34,3.36,237.98,3.79,74.7,35,"涨3.4%, 放量, 换手3.8%"
002241,歌尔股份,23.1,-6.93,34.08,4.6,20.3,35,"放量, 换手4.6%"
000063,中兴通讯,35.1,-4.41,57.89,4.01,30.0,35,"放量, 换手4.0%"
000063,中兴通讯,36.72,-4.12,101.29,6.7,31.4,35,"放量, 换手6.7%"
002475,立讯精密,70.71,-3.52,167.89,3.16,30.9,35,"放量, 换手3.2%"
002475,立讯精密,72.8,1.69,114.13,2.2,31.8,35,"涨1.7%, 放量"
002747,埃斯顿,29.49,1.55,27.23,11.71,589.8,35,"涨1.6%, 放量, 换手11.7%"
300620,光库科技,259.84,2.71,52.9,8.2,366.5,35,"涨2.7%, 放量, 换手8.2%"
000063,中兴通讯,34.82,-2.03,51.02,3.59,29.8,35,"放量, 换手3.6%"
002241,歌尔股份,26.83,-4.86,63.11,7.37,23.5,35,"放量, 换手7.4%"
300496,中科创达,65.76,4.08,18.35,7.48,67.2,35,"涨4.1%, 放量, 换手7.5%"
603283,赛腾股份,63.18,-6.65,15.35,8.74,36.1,35,"放量, 换手8.7%"
603283,赛腾股份,46.22,-5.77,9.08,5.51,26.4,35,"放量, 换手5.5%"
603501,豪威集团,104.96,-1.05,39.46,3.06,31.1,35,"放量, 换手3.1%"
603501,XD豪威集,98.86,-1.93,39.78,3.35,29.3,35,"放量, 换手3.3%"
603501,豪威集团,95.0,-6.77,36.76,3.1,28.2,35,"放量, 换手3.1%"
002241,歌尔股份,26.5,-1.23,47.02,5.51,23.2,35,"放量, 换手5.5%"
603019,中科曙光,91.25,0.29,43.52,3.29,61.2,35,"涨0.3%, 放量, 换手3.3%"
300033,同花顺,236.52,-1.03,44.37,4.34,39.7,35,"放量, 换手4.3%"
300033,同花顺,238.99,-1.21,49.36,4.64,40.1,35,"放量, 换手4.6%"
603283,赛腾股份,67.1,-3.72,14.08,7.67,38.3,35,"放量, 换手7.7%"
300033,同花顺,227.76,-3.7,48.68,4.76,38.2,35,"放量, 换手4.8%"
000977,浪潮信息,57.89,-6.84,43.08,4.97,35.3,35,"放量, 换手5.0%"
000977,浪潮信息,63.36,-1.34,33.03,3.56,38.7,35,"放量, 换手3.6%"
601138,工业富联,73.75,0.48,224.39,1.52,41.4,35,"涨0.5%, 放量"
600745,*ST闻泰,17.86,5.0,17.56,8.0,亏损,30,"涨5.0%, 放量, 换手8.0%, 亏损"
300620,光库科技,292.99,12.76,78.71,11.41,413.2,30,"涨幅较大12.8%, 放量, 换手11.4%"
002747,埃斯顿,34.12,9.99,36.8,14.43,682.4,30,"涨幅较大10.0%, 放量, 换手14.4%"
300672,国科微,351.0,5.75,49.3,6.55,亏损,30,"涨5.7%, 放量, 换手6.5%, 亏损"
300672,国科微,317.56,4.5,35.32,5.34,亏损,30,"涨4.5%, 放量, 换手5.3%, 亏损"
300474,景嘉微,63.31,0.14,8.63,3.37,亏损,30,"涨0.1%, 放量, 换手3.4%, 亏损"
300229,拓尔思,17.37,4.83,5.66,3.74,亏损,30,"涨4.8%, 放量, 换手3.7%, 亏损"
300624,万兴科技,62.9,4.97,8.24,7.67,亏损,30,"涨5.0%, 放量, 换手7.7%, 亏损"
300364,中文在线,25.39,0.12,17.87,10.52,亏损,30,"涨0.1%, 放量, 换手10.5%, 亏损"
300364,中文在线,26.6,4.77,19.22,11.01,亏损,30,"涨4.8%, 放量, 换手11.0%, 亏损"
601138,工业富联,75.0,7.02,264.38,1.82,42.1,30,"涨幅较大7.0%, 放量"
002281,光迅科技,202.7,-1.95,115.86,7.22,167.5,25,"放量, 换手7.2%"
601138,工业富联,73.4,-2.13,273.85,1.81,41.2,25,放量
300502,新易盛,679.82,-3.77,203.85,3.3,70.7,25,"放量, 换手3.3%"
603019,中科曙光,90.99,-3.54,54.94,4.04,61.1,25,"放量, 换手4.0%"
300308,中际旭创,1103.0,0.92,257.17,2.11,112.6,25,"涨0.9%, 放量"
300620,光库科技,252.98,-7.26,42.85,6.76,356.8,25,"放量, 换手6.8%"
002281,光迅科技,206.72,-7.71,140.27,8.53,170.8,25,"放量, 换手8.5%"
002405,四维图新,9.42,-1.36,7.39,3.34,212.6,25,"放量, 换手3.3%"
002475,立讯精密,72.45,-3.01,112.99,2.15,31.6,25,放量
002747,埃斯顿,30.03,4.96,35.22,15.31,600.6,25,"涨5.0%, 放量"
601138,工业富联,78.55,-3.08,221.2,1.41,44.1,25,放量
300502,新易盛,725.0,-3.08,233.49,3.6,75.4,25,"放量, 换手3.6%"
300502,新易盛,695.0,-0.71,245.09,3.92,72.3,25,"放量, 换手3.9%"
603019,中科曙光,94.33,-2.2,64.14,4.7,63.3,25,"放量, 换手4.7%"
601138,工业富联,70.48,-4.83,140.14,0.99,39.6,25,放量
300496,中科创达,61.21,-3.13,11.14,4.88,62.5,25,"放量, 换手4.9%"
300308,中际旭创,1111.37,0.76,280.64,2.26,113.4,25,"涨0.8%, 放量"
300496,中科创达,73.38,-1.24,19.87,7.34,74.9,25,"放量, 换手7.3%"
300496,中科创达,69.91,-4.73,20.54,7.93,71.4,25,"放量, 换手7.9%"
601138,工业富联,69.98,-0.46,151.71,1.1,39.3,25,放量
002281,光迅科技,220.56,-1.54,114.24,6.58,182.3,25,"放量, 换手6.6%"
300308,中际旭创,1280.0,0.39,275.95,1.96,130.6,25,"涨0.4%, 放量"
603138,海量数据,16.65,3.22,2.21,4.68,亏损,25,"涨3.2%, 成交活跃, 换手4.7%, 亏损"
300620,光库科技,278.78,-4.85,62.86,9.08,393.2,25,"放量, 换手9.1%"
002405,四维图新,9.23,-1.39,8.09,3.75,208.4,25,"放量, 换手3.8%"
300620,光库科技,299.67,-6.44,52.6,7.07,422.7,25,"放量, 换手7.1%"
002475,立讯精密,74.59,-0.28,108.24,2.0,32.6,25,放量
002405,四维图新,8.73,-5.42,9.08,4.32,197.1,25,"放量, 换手4.3%"
002475,立讯精密,71.59,-1.19,119.55,2.27,31.3,25,放量
300308,中际旭创,1154.99,-2.12,389.24,3.03,117.9,25,"放量, 换手3.0%"
300212,*ST易录,11.63,7.68,5.21,6.61,亏损,25,"涨幅较大7.7%, 放量, 换手6.6%, 亏损"
002747,埃斯顿,28.43,-5.33,27.23,12.02,568.6,25,"放量, 换手12.0%"
002747,埃斯顿,28.32,-0.39,23.65,10.8,566.4,25,"放量, 换手10.8%"
002747,埃斯顿,27.72,-2.12,19.27,8.65,554.4,25,"放量, 换手8.7%"
002747,埃斯顿,26.77,-3.43,14.7,6.91,535.4,25,"放量, 换手6.9%"
300212,*ST易录,9.66,1.05,4.4,6.6,亏损,25,"涨1.0%, 成交活跃, 换手6.6%, 亏损"
300212,*ST易录,11.0,13.87,6.07,8.35,亏损,25,"涨幅较大13.9%, 放量, 换手8.4%, 亏损"
300212,*ST易录,12.28,11.64,6.58,8.06,亏损,25,"涨幅较大11.6%, 放量, 换手8.1%, 亏损"
603501,豪威集团,92.23,-2.92,21.73,1.92,27.4,25,放量
603019,中科曙光,88.22,-3.32,48.13,3.63,59.2,25,"放量, 换手3.6%"
300502,新易盛,706.45,-1.66,237.87,3.71,73.5,25,"放量, 换手3.7%"
603501,豪威集团,92.02,-3.53,21.03,1.88,27.3,25,放量
300620,光库科技,278.65,-0.05,56.91,8.09,393.0,25,"放量, 换手8.1%"
300620,光库科技,319.26,-5.28,58.52,7.31,450.3,25,"放量, 换手7.3%"
002405,四维图新,9.36,-0.64,9.67,4.29,211.3,25,"放量, 换手4.3%"
002475,立讯精密,66.14,-3.82,125.46,2.61,28.9,25,放量
300496,中科创达,63.18,-9.63,22.02,9.04,64.5,25,"放量, 换手9.0%"
002281,光迅科技,203.95,-5.09,121.34,7.42,168.6,25,"放量, 换手7.4%"
002230,科大讯飞,47.9,-2.5,35.7,3.32,133.1,25,"放量, 换手3.3%"
002230,科大讯飞,49.13,-2.23,42.68,3.99,136.5,25,"放量, 换手4.0%"
002281,光迅科技,206.99,-9.05,126.88,7.71,171.1,25,"放量, 换手7.7%"
300474,景嘉微,64.54,-3.74,9.53,3.64,亏损,20,"放量, 换手3.6%, 亏损"
300212,*ST易录,8.9,8.67,4.51,7.29,亏损,20,"涨幅较大8.7%, 成交活跃, 换手7.3%, 亏损"
300624,万兴科技,62.53,-2.48,5.18,4.87,亏损,20,"放量, 换手4.9%, 亏损"
300672,国科微,331.92,-0.38,37.26,5.42,亏损,20,"放量, 换手5.4%, 亏损"
300364,中文在线,25.61,-2.06,9.48,5.64,亏损,20,"放量, 换手5.6%, 亏损"
300212,*ST易录,10.43,-8.03,5.65,7.51,亏损,20,"放量, 换手7.5%, 亏损"
300212,*ST易录,9.56,7.42,4.88,7.49,亏损,20,"涨幅较大7.4%, 成交活跃, 换手7.5%, 亏损"
300672,国科微,276.7,-7.46,31.46,5.32,亏损,20,"放量, 换手5.3%, 亏损"
300672,国科微,328.97,-5.61,47.26,6.72,亏损,20,"放量, 换手6.7%, 亏损"
300672,国科微,348.51,-0.71,40.04,5.5,亏损,20,"放量, 换手5.5%, 亏损"
300672,国科微,312.58,-4.98,33.27,4.9,亏损,20,"放量, 换手4.9%, 亏损"
603138,海量数据,17.69,10.01,3.55,7.09,亏损,20,"涨幅较大10.0%, 成交活跃, 换手7.1%, 亏损"
300474,景嘉微,63.22,-2.04,10.2,3.86,亏损,20,"放量, 换手3.9%, 亏损"
300474,景嘉微,58.13,0.78,5.44,2.31,亏损,20,"涨0.8%, 放量, 亏损"
002690,美亚光电,15.57,1.1,0.77,1.15,19.1,20,涨1.1%
300308,中际旭创,1197.99,7.79,329.12,2.59,122.2,20,"涨幅较大7.8%, 放量"
300474,景嘉微,57.87,-8.59,10.74,4.42,亏损,20,"放量, 换手4.4%, 亏损"
601138,工业富联,80.0,-1.29,3.57,0.02,44.9,20,成交活跃
300624,万兴科技,60.83,-0.75,5.15,5.02,亏损,20,"放量, 换手5.0%, 亏损"
300364,中文在线,23.9,-3.94,10.97,6.92,亏损,20,"放量, 换手6.9%, 亏损"
300364,中文在线,23.02,-3.36,7.35,4.8,亏损,20,"放量, 换手4.8%, 亏损"
300624,万兴科技,61.29,-1.98,5.14,4.78,亏损,20,"放量, 换手4.8%, 亏损"
300364,中文在线,25.36,-3.98,17.92,10.67,亏损,20,"放量, 换手10.7%, 亏损"
300364,中文在线,26.41,3.12,28.75,15.92,亏损,20,"涨3.1%, 放量, 亏损"
600745,*ST闻泰,20.91,-2.24,19.32,7.51,亏损,20,"放量, 换手7.5%, 亏损"
600745,*ST闻泰,19.69,5.01,5.52,2.26,亏损,20,"涨5.0%, 放量, 亏损"
600745,*ST闻泰,18.75,4.98,5.67,2.48,亏损,20,"涨5.0%, 放量, 亏损"
