代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
002624,完美世界,14.3,2.44,15.49,5.94,36.7,50,"涨2.4%, 放量, 换手5.9%"
601888,中国中免,57.45,0.44,43.71,3.83,33.1,50,"涨0.4%, 放量, 换手3.8%"
300274,阳光电源,146.8,-4.52,88.28,3.72,22.4,40,"跌4.5%, 放量, 换手3.7%"
300033,同花顺,204.9,-3.08,29.56,3.26,34.4,40,"跌3.1%, 放量, 换手3.3%"
300059,东方财富,17.72,-4.32,63.07,2.61,23.2,40,"跌4.3%, 放量, 换手2.6%"
000983,山西焦煤,7.53,-3.34,11.1,2.54,35.6,40,"跌3.3%, 放量, 换手2.5%"
002475,立讯精密,66.14,-3.82,125.46,2.61,28.9,40,"跌3.8%, 放量, 换手2.6%"
300496,中科创达,64.74,2.48,16.49,6.92,66.1,40,"涨2.5%, 放量, 换手6.9%"
000001,平安银行,11.03,0.46,12.04,0.56,5.3,40,"涨0.5%, 放量"
601225,陕西煤业,27.8,2.43,19.7,0.74,16.1,40,"涨2.4%, 放量"
601601,中国太保,31.2,0.48,15.71,0.74,5.6,40,"涨0.5%, 放量"
601398,工商银行,7.5,2.18,43.33,0.22,7.5,40,"涨2.2%, 放量"
603444,吉比特,324.41,-3.15,5.33,2.24,13.0,40,"跌3.2%, 放量, 换手2.2%"
601211,国泰海通,16.45,1.23,28.16,1.27,9.5,40,"涨1.2%, 放量"
601288,农业银行,6.57,3.3,35.3,0.17,8.4,40,"涨3.3%, 放量"
601088,中国神华,50.76,4.62,27.68,0.34,19.1,40,"涨4.6%, 放量"
300124,汇川技术,74.52,-0.75,42.65,2.36,39.9,40,"跌0.7%, 放量, 换手2.4%"
300347,泰格医药,36.17,-7.07,8.02,3.81,34.8,35,"放量, 换手3.8%"
002049,紫光国微,69.98,-6.87,24.3,4.0,41.0,35,"放量, 换手4.0%"
002241,歌尔股份,23.1,-6.93,34.08,4.6,20.3,35,"放量, 换手4.6%"
300014,亿纬锂能,54.33,-6.7,37.44,3.2,26.9,35,"放量, 换手3.2%"
603283,赛腾股份,46.22,-5.77,9.08,5.51,26.4,35,"放量, 换手5.5%"
000063,中兴通讯,36.81,-5.93,113.94,7.51,31.5,35,"放量, 换手7.5%"
000977,浪潮信息,57.89,-6.84,43.08,4.97,35.3,35,"放量, 换手5.0%"
000625,长安汽车,7.8,-2.5,5.95,0.92,19.0,30,"跌2.5%, 放量"
605117,德业股份,102.17,-2.61,16.45,1.26,29.1,30,"跌2.6%, 放量"
601688,华泰证券,18.74,-0.58,17.99,1.31,10.8,30,"跌0.6%, 放量"
603259,药明康德,96.0,-0.58,43.72,1.85,14.3,30,"跌0.6%, 放量"
000858,五 粮 液,79.96,-1.38,22.08,0.71,34.7,30,"跌1.4%, 放量"
000568,泸州老窖,84.56,-2.67,9.05,0.72,11.5,30,"跌2.7%, 放量"
300308,中际旭创,1154.99,-2.12,389.24,3.03,117.9,30,"跌2.1%, 放量, 换手3.0%"
300760,迈瑞医疗,142.74,-1.14,11.43,0.66,21.3,30,"跌1.1%, 放量"
300502,新易盛,725.0,-3.08,233.49,3.6,75.4,30,"跌3.1%, 放量, 换手3.6%"
600036,招商银行,38.5,-0.21,29.65,0.37,6.8,30,"跌0.2%, 放量"
600030,中信证券,25.43,-0.94,45.57,1.47,13.0,30,"跌0.9%, 放量"
300750,宁德时代,393.02,-2.48,113.35,0.67,24.4,30,"跌2.5%, 放量"
002821,凯莱英,112.56,-3.19,5.47,1.53,35.6,30,"跌3.2%, 放量"
002074,国轩高科,28.76,-4.17,10.05,1.99,21.8,30,"跌4.2%, 放量"
002594,比亚迪,91.19,-1.96,28.86,0.91,25.5,30,"跌2.0%, 放量"
002747,埃斯顿,34.12,9.99,36.8,14.43,682.4,30,"涨幅较大10.0%, 放量, 换手14.4%"
002460,赣锋锂业,62.76,-4.4,32.04,4.17,78.5,30,"跌4.4%, 放量, 换手4.2%"
601127,赛力斯,72.9,-2.81,16.05,1.39,19.8,30,"跌2.8%, 放量"
601138,工业富联,70.48,-4.83,140.14,0.99,39.6,30,"跌4.8%, 放量"
601318,中国平安,53.38,-0.19,38.46,0.68,7.0,30,"跌0.2%, 放量"
603019,中科曙光,78.51,-4.69,33.9,2.92,52.7,30,"跌4.7%, 放量, 换手2.9%"
603501,豪威集团,92.02,-3.53,21.03,1.88,27.3,30,"跌3.5%, 放量"
601668,中国建筑,4.7,-0.42,7.85,0.4,5.0,30,"跌0.4%, 放量"
601336,新华保险,55.43,-1.63,12.83,1.09,4.8,30,"跌1.6%, 放量"
601390,中国中铁,4.54,-3.2,6.89,0.73,5.4,30,"跌3.2%, 放量"
600887,伊利股份,25.37,-1.17,14.71,0.91,13.9,30,"跌1.2%, 放量"
600104,上汽集团,11.47,-2.55,5.98,0.45,13.0,30,"跌2.5%, 放量"
600519,贵州茅台,1262.98,-0.78,38.98,0.25,19.2,30,"跌0.8%, 放量"
601166,兴业银行,18.54,-0.32,15.77,0.4,5.4,30,"跌0.3%, 放量"
000895,双汇发展,24.15,-2.46,3.62,0.43,16.4,25,"跌2.5%, 成交活跃"
000596,古井贡酒,86.45,-2.01,2.43,0.68,12.9,25,"跌2.0%, 成交活跃"
000166,申万宏源,4.26,-1.62,4.31,0.45,11.2,25,"跌1.6%, 成交活跃"
002281,光迅科技,206.99,-9.05,126.88,7.71,171.1,25,"放量, 换手7.7%"
600745,*ST闻泰,20.91,-2.24,19.32,7.51,亏损,25,"跌2.2%, 放量, 换手7.5%, 亏损"
601186,中国铁建,6.25,-1.73,3.06,0.42,5.3,25,"跌1.7%, 成交活跃"
600862,中航高科,17.55,-1.63,4.13,1.66,23.7,25,"跌1.6%, 成交活跃"
600547,山东黄金,26.46,-5.67,16.84,1.74,28.1,25,放量
601899,紫金矿业,28.05,-5.33,106.52,1.83,14.4,25,放量
300364,中文在线,23.02,-3.36,7.35,4.8,亏损,25,"跌3.4%, 放量, 换手4.8%, 亏损"
002304,洋河股份,42.25,-2.42,2.53,0.39,28.9,25,"跌2.4%, 成交活跃"
300620,光库科技,299.67,-6.44,52.6,7.07,422.7,25,"放量, 换手7.1%"
603369,今世缘,25.58,-1.35,2.67,0.83,12.2,25,"跌1.4%, 成交活跃"
601633,长城汽车,16.41,-1.97,3.99,0.39,14.1,25,"跌2.0%, 成交活跃"
600048,保利发展,5.27,-1.68,5.99,0.94,58.6,20,"跌1.7%, 放量"
300474,景嘉微,53.53,-5.04,5.68,2.57,亏损,20,"放量, 换手2.6%, 亏损"
002230,科大讯飞,44.12,-4.15,19.58,2.0,122.6,20,"跌4.1%, 放量"
300769,德方纳米,59.6,-5.52,11.47,7.46,亏损,20,"放量, 换手7.5%, 亏损"
300624,万兴科技,55.06,-2.94,3.54,3.73,亏损,20,"跌2.9%, 成交活跃, 换手3.7%, 亏损"
601012,隆基绿能,12.44,-5.25,22.76,2.37,亏损,20,"放量, 换手2.4%, 亏损"
